City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,cape town,-33.9258,18.4232,294.21,81,20,7.2,ZA,1675203842
1,tiksi,71.6872,128.8694,252.77,100,100,4.88,RU,1675204207
2,coquimbo,-29.9533,-71.3436,293.0,77,20,5.14,CL,1675203936
3,yerbogachen,61.2767,108.0108,237.58,100,76,1.26,RU,1675203697
4,barrow,71.2906,-156.7887,251.16,84,0,11.83,US,1675204208
5,mar del plata,-38.0023,-57.5575,297.09,86,75,7.2,AR,1675204100
6,bassar,9.25,0.7833,297.93,16,86,0.98,TG,1675204208
7,kupang,-10.1667,123.5833,297.47,100,100,4.12,ID,1675204209
8,hermanus,-34.4187,19.2345,290.82,92,11,2.79,ZA,1675204209
9,lethem,3.3803,-59.7968,304.23,38,53,2.15,GY,1675203727
10,lokoja,7.8024,6.743,303.76,30,80,1.77,NG,1675204210
11,portland,45.5234,-122.6762,280.42,53,75,2.06,US,1675204211
12,leningradskiy,69.3833,178.4167,259.03,96,100,3.31,RU,1675204211
13,mahebourg,-20.4081,57.7,299.31,89,40,2.57,MU,1675204167
14,homer,59.6425,-151.5483,276.08,91,100,1.34,US,1675204212
15,tyup,42.7276,78.3648,269.2,81,100,1.62,KG,1675204212
16,georgetown,5.4112,100.3354,300.11,80,20,2.06,MY,1675203965
17,narsaq,60.9167,-46.05,266.27,94,100,0.72,GL,1675203899
18,rikitea,-23.1203,-134.9692,299.51,72,13,5.79,PF,1675204213
19,avarua,-21.2078,-159.775,300.18,83,100,3.6,CK,1675204153
20,nikolskoye,59.7035,30.7861,273.1,90,97,4.0,RU,1675204214
21,broome,42.2506,-75.833,269.07,66,0,3.09,US,1675203686
22,mount isa,-20.7333,139.5,298.02,94,100,2.57,AU,1675204215
23,ushuaia,-54.8,-68.3,285.96,58,40,2.06,AR,1675204215
24,eureka,40.8021,-124.1637,287.7,38,98,1.34,US,1675203622
25,ostersund,63.1792,14.6357,266.4,100,20,2.06,SE,1675204098
26,qaanaaq,77.484,-69.3632,251.87,50,70,3.85,GL,1675204149
27,havre-saint-pierre,50.2334,-63.5986,261.15,65,0,5.14,CA,1675203632
28,souillac,-20.5167,57.5167,299.36,89,40,2.57,MU,1675204216
29,great bend,38.3645,-98.7648,271.22,38,0,3.6,US,1675204217
30,hilo,19.7297,-155.09,296.83,94,75,1.54,US,1675204154
31,punta arenas,-53.15,-70.9167,288.21,51,75,12.86,CL,1675204036
32,chiredzi,-21.05,31.6667,296.13,80,16,4.3,ZW,1675204218
33,vaini,-21.2,-175.2,299.24,94,75,4.63,TO,1675204127
34,mustang,35.3842,-97.7245,269.46,49,100,4.63,US,1675204218
35,cidreira,-30.1811,-50.2056,298.19,83,18,3.11,BR,1675203965
36,klaksvik,62.2266,-6.589,278.26,86,100,13.58,FO,1675204219
37,tra vinh,9.9347,106.3453,295.84,93,99,1.01,VN,1675203702
38,castro,-24.7911,-50.0119,290.81,98,100,0.85,BR,1675204134
39,champerico,14.3,-91.9167,306.45,57,6,3.61,GT,1675204220
40,makakilo city,21.3469,-158.0858,300.33,67,75,2.57,US,1675203640
41,albany,42.6001,-73.9662,269.94,57,86,0.45,US,1675203988
42,pevek,69.7008,170.3133,259.71,82,1,2.83,RU,1675204220
43,mana,5.6592,-53.7767,297.33,87,60,3.02,GF,1675203639
44,butaritari,3.0707,172.7902,299.85,79,67,8.7,KI,1675204151
45,mataura,-46.1927,168.8643,289.42,99,100,0.45,NZ,1675204124
46,kalevala,65.2,31.1667,262.59,96,65,3.97,RU,1675204221
47,mitsamiouli,-11.3847,43.2844,300.17,77,9,1.81,KM,1675204222
48,east london,-33.0153,27.9116,296.05,89,83,5.81,ZA,1675204135
49,kapaa,22.0752,-159.319,299.33,81,75,4.12,US,1675204119
50,liwale,-9.7667,37.9333,293.39,97,22,0.6,TZ,1675204223
51,kavieng,-2.5744,150.7967,301.38,73,100,3.48,PG,1675203636
52,marsh harbour,26.5412,-77.0636,297.43,71,12,3.21,BS,1675203970
53,kruisfontein,-34.0033,24.7314,292.53,92,6,1.66,ZA,1675204223
54,clyde river,70.4692,-68.5914,241.28,83,0,1.54,CA,1675204131
55,thompson,55.7435,-97.8558,245.24,63,75,3.09,CA,1675204224
56,chokurdakh,70.6333,147.9167,256.44,97,100,0.87,RU,1675204099
57,buraydah,26.326,43.975,287.4,57,15,5.1,SA,1675204225
58,carnarvon,-24.8667,113.6333,298.39,77,71,5.26,AU,1675204225
59,cabo san lucas,22.8909,-109.9124,297.32,49,100,5.14,MX,1675204119
60,arraial do cabo,-22.9661,-42.0278,298.13,78,0,7.72,BR,1675204226
61,busselton,-33.65,115.3333,287.1,76,0,7.49,AU,1675204102
62,nidzica,53.3605,20.4275,272.92,98,100,7.47,PL,1675204226
63,aklavik,68.2191,-135.0107,239.05,99,32,1.41,CA,1675204193
64,mapiripan,2.8892,-72.1256,302.52,37,49,2.85,CO,1675204227
65,saint anthony,45.0205,-93.218,261.85,58,0,5.14,US,1675203665
66,mayo,38.8876,-76.5119,276.6,89,100,1.54,US,1675204228
67,annau,37.8876,58.516,281.87,57,100,3.09,TM,1675204228
68,vagur,61.4732,-6.8119,278.5,86,100,17.47,FO,1675204228
69,lagoa,39.05,-27.9833,286.87,69,90,5.31,PT,1675204229
70,jining,35.405,116.5814,275.37,34,99,7.17,CN,1675204229
